number,location,monthly_price,house_area,house_age,walk_from_station,direction_of_house,direction_jp
148,市川市市川南,66000,21.0,17,4,3.0,南
149,市川市新田,72000,20.7,0,2,2.3,東
150,市川市市川南,55000,21.1,38,6,3.0,南
151,市川市市川,60000,20.0,16,4,3.0,南
152,市川市真間,61000,23.1,10,12,3.0,南
153,市川市市川,46000,23.2,34,7,2.0,西
154,市川市新田,61000,22.4,22,3,2.7,南東
155,市川市菅野,49000,18.0,19,15,3.0,南
156,市川市真間,72000,19.4,1,6,2.7,南東
157,市川市新田,72000,20.7,0,1,3.0,南
158,市川市大洲,57000,21.0,24,12,3.0,南
159,市川市市川南,62500,21.8,37,5,2.7,南東
160,市川市新田,61000,21.1,11,10,2.0,西
161,市川市新田,65000,23.0,0,13,2.7,南東
162,市川市市川南,70000,27.0,15,4,3.0,南
163,市川市新田,86000,30.2,0,8,3.0,南
